TEsubFam,X1,X2,TEFam,class,fam,count,age1.curated,is.age.curated,Hmark,mean_odds,combo_fisher,mean_combo
HAL1,0.82277913096078,-5.12884336516843,LINE/L1,LINE,L1,21238,149,No,H3K9me3,42.0517359334185,0,10.5477546418534
HAL1b,1.27593462492664,-4.19431247166982,LINE/L1,LINE,L1,4340,145,No,H3K27ac,2.39536421077476,1,-5.74310204128749
HAL1b,1.27593462492664,-4.19431247166982,LINE/L1,LINE,L1,4340,145,No,H3K27me3,35.2431799294265,1,-1.88534104095458
HAL1b,1.27593462492664,-4.19431247166982,LINE/L1,LINE,L1,4340,145,No,H3K36me3,22.257862346561,0.999987473516073,-0.0315087372963619
HAL1b,1.27593462492664,-4.19431247166982,LINE/L1,LINE,L1,4340,145,No,H3K4me1,7.26134653295916,1,-6.1897409300521
HAL1b,1.27593462492664,-4.19431247166982,LINE/L1,LINE,L1,4340,145,No,H3K4me3,3.76060957544792,1,-10.3829475340807
HAL1b,1.27593462492664,-4.19431247166982,LINE/L1,LINE,L1,4340,145,No,H3K9me3,63.8844232860762,0,9.47907823195525
HAL1M8,1.57486750480793,-3.86949229886681,LINE/L1,LINE,L1,2197,117,No,H3K27ac,1.4351069167733,1,-2.80371947391646
HAL1M8,1.57486750480793,-3.86949229886681,LINE/L1,LINE,L1,2197,117,No,H3K27me3,18.2760101905103,1,-0.575667185374702
HAL1M8,1.57486750480793,-3.86949229886681,LINE/L1,LINE,L1,2197,117,No,H3K36me3,12.1395027115139,2.59314703181805e-24,1.21841518235314
HAL1M8,1.57486750480793,-3.86949229886681,LINE/L1,LINE,L1,2197,117,No,H3K4me1,4.00967704291598,1,-2.09686804586444
HAL1M8,1.57486750480793,-3.86949229886681,LINE/L1,LINE,L1,2197,117,No,H3K4me3,2.45336011541062,1,-5.36680955913152
HAL1M8,1.57486750480793,-3.86949229886681,LINE/L1,LINE,L1,2197,117,No,H3K9me3,36.5881472369611,0,15.3919642925835
HAL1ME,0.820801800490917,-5.14983482076423,LINE/L1,LINE,L1,7407,151,No,H3K27ac,2.52955884273207,1,-3.81787682646171
HAL1ME,0.820801800490917,-5.14983482076423,LINE/L1,LINE,L1,7407,151,No,H3K27me3,38.8103465836099,1,-1.09165977271043
HAL1ME,0.820801800490917,-5.14983482076423,LINE/L1,LINE,L1,7407,151,No,H3K36me3,22.9912242811129,1,-1.19259776979732
HAL1ME,0.820801800490917,-5.14983482076423,LINE/L1,LINE,L1,7407,151,No,H3K4me1,8.66269014840579,1,-2.88189148695164
HAL1ME,0.820801800490917,-5.14983482076423,LINE/L1,LINE,L1,7407,151,No,H3K4me3,4.16717155912162,1,-10.7446572119427
HAL1ME,0.820801800490917,-5.14983482076423,LINE/L1,LINE,L1,7407,151,No,H3K9me3,63.4274213958236,1.53228261361979e-254,3.20760265960629
Harlequin-int,-2.40386183801561,2.5595316795459,LTR/ERV1,LTR,ERV1,95,30,No,H3K27ac,0.830718230867211,1,-1.91134156283538
