	n_i	n_T.te	n_T.peak	expected	fc.expected	comparison	padj.final	significance
RLTR10B|MMERVK10C-int|MMERVK10C-int|MMERVK10C-int|RLTR27|MMERVK10C-int|RLTR27|MMERVK10C-int|RLTR10B	0	1	4692	0.0	1.0	peak_in_te	1	n.s
RLTR10B|MMERVK10C-int|RLTR27|MMERVK10C-int|MMERVK10C-int|MMERVK10C-int|MMERVK10C-int|MMERVK10C-int|RLTR10C	0	1	4692	0.0	1.0	peak_in_te	1	n.s
RLTR10F|IAPEY3-int|IAPEY3-int	0	6	4692	0.01	1.0	peak_in_te	1	n.s
RLTR10E|RLTR10E	0	2	4692	0.0	1.0	te_in_peak	1	n.s
RLTR10B|MMERVK10C-int|RLTR27|MMERVK10C-int|MMERVK10C-int|MMERVK10C-int|MMERVK10C-int|RLTR10B	0	1	4692	0.0	1.0	peak_in_te	1	n.s
RLTR10E|RLTR10C|RLTR10E|MMERVK10C-int|RLTR27|MMERVK10C-int|RLTR10E	0	1	4692	0.01	1.0	peak_in_te	1	n.s
RLTR10B|MMERVK10C-int|RLTR27|MMERVK10C-int|MMERVK10C-int|MMERVK10C-int|RLTR10B	0	5	4692	0.01	1.0	peak_in_te	1	n.s
RLTR10E|MMERVK10C-int|RLTR27|MMERVK10C-int|RLTR10E	0	3	4692	0.04	1.0	peak_in_te	1	n.s
RLTR10B|MMERVK10C-int|RLTR27|MMERVK10C-int|RLTR10C	0	1	4692	0.0	1.0	peak_in_te	1	n.s
RLTR10B|RLTR10B	0	47	4692	0.04	1.0	te_in_peak	1	n.s
RLTR10B|MMERVK10C-int|MMERVK10C-int|MMERVK10C-int|MMERVK10C-int|MMERVK10C-int|RLTR10B|RLTR10B	0	2	4692	0.01	1.0	peak_in_te	1	n.s
RLTR10B|RLTR10B2|MMERVK10C-int	0	1	4692	0.0	1.0	peak_in_te	1	n.s
RLTR10B|RLTR10B2|MMERVK10C-int|MMERVK10C-int|MMERVK10C-int|MMERVK10C-int|MMERVK10C-int|RLTR10B|RLTR10B	0	1	4692	0.0	1.0	peak_in_te	1	n.s
RLTR10B|RLTR10B2|MMERVK10C-int|MMERVK10C-int|MMERVK10C-int|MMERVK10C-int|RLTR10B2|RLTR10B2	0	1	4692	0.0	1.0	peak_in_te	1	n.s
RLTR10B|MMERVK10C-int|MMERVK10C-int|MMERVK10C-int|RLTR27|MMERVK10C-int|RLTR10B	0	3	4692	0.0	1.0	peak_in_te	1	n.s
RLTR10B|RLTR10B|MMERVK10C-int	0	2	4692	0.0	1.0	peak_in_te	1	n.s
RLTR10B|MMERVK10C-int|MMERVK10C-int|MMERVK10C-int|RLTR10B|RLTR10B	0	2	4692	0.02	1.0	peak_in_te	1	n.s
RLTR10F|IAPEY3-int|IAPEY3-int|IAPEY3-int|IAPEY3-int|RLTR10F	0	1	4692	0.0	1.0	peak_in_te	1	n.s
RLTR10F|IAPEY3-int	0	8	4692	0.01	1.0	peak_in_te	1	n.s
RLTR10B|MMERVK10C-int|MMERVK10C-int|MMERVK10C-int|MMERVK10C-int|RLTR10B	0	1	4692	0.0	1.0	peak_in_te	1	n.s
RLTR10F|IAPEY3-int|IAPEY3-int|RLTR10F	0	1	4692	0.0	1.0	peak_in_te	1	n.s
RLTR10C|RLTR10E|MMERVK10C-int|RLTR10B|MMERVK10C-int|MMERVK10C-int|MMERVK10C-int|RLTR10E	0	1	4692	0.01	1.0	peak_in_te	1	n.s
RLTR10B|RLTR10B|MMERVK10C-int|MMERVK10C-int|MMERVK10C-int|RLTR10B|RLTR10B	0	1	4692	0.01	1.0	peak_in_te	1	n.s
RLTR10B|RLTR10B|MMERVK10C-int|MMERVK10C-int|MMERVK10C-int|MMERVK10C-int|RLTR10B	0	2	4692	0.02	1.0	peak_in_te	1	n.s
RLTR10D|IAP-d-int|IAP-d-int|IAP-d-int|IAP-d-int	0	2	4692	0.0	1.0	peak_in_te	1	n.s
RLTR10C|MMERVK10C-int|RLTR27|MMERVK10C-int|MMERVK10C-int	0	3	4692	0.0	1.0	peak_in_te	1	n.s
RLTR10D2|RLTR10D2	0	4	4692	0.0	1.0	te_in_peak	1	n.s
RLTR10C|MMERVK10C-int|RLTR27|MMERVK10C-int	0	10	4692	0.02	1.0	peak_in_te	1	n.s
RLTR10C|MMERVK10C-int|MMERVK10C-int|RLTR27|MMERVK10C-int|RLTR10C	0	1	4692	0.01	1.0	peak_in_te	1	n.s
RLTR10D|IAP-d-int|IAP-d-int	0	6	4692	0.05	1.0	peak_in_te	1	n.s
RLTR10D|IAP-d-int|IAP-d-int|IAP-d-int	0	1	4692	0.0	1.0	peak_in_te	1	n.s
RLTR10D|IAP-d-int|IAP-d-int|IAP-d-int|IAP-d-int|IAP-d-int|IAP-d-int|IAP-d-int|RLTR10D	0	1	4692	0.0	1.0	peak_in_te	1	n.s
RLTR10B|RLTR10B|MMERVK10C-int|MMERVK10C-int|MMERVK10C-int|MMERVK10C-int|RLTR10B|RLTR10B	0	1	4692	0.01	1.0	peak_in_te	1	n.s
RLTR10D|IAP-d-int|IAP-d-int|IAP-d-int|IAP-d-int|IAP-d-int|RLTR10D	0	2	4692	0.01	1.0	peak_in_te	1	n.s
RLTR10D|IAP-d-int|IAP-d-int|RLTR10D|RLTR10D	0	1	4692	0.01	1.0	peak_in_te	1	n.s
RLTR10D|RLTR10D	0	4	4692	0.0	1.0	te_in_peak	1	n.s
RLTR10D|RLTR10D|IAP-d-int|IAP-d-int|IAP-d-int	0	1	4692	0.01	1.0	peak_in_te	1	n.s
RLTR10C|MMERVK10C-int|MMERVK10C-int|MMERVK10C-int|RLTR27|MMERVK10C-int|RLTR10C	0	2	4692	0.02	1.0	peak_in_te	1	n.s
RLTR10C|MMERVK10C-int|MMERVK10C-int|MMERVK10C-int|MMERVK10C-int|RLTR27|MMERVK10C-int|RLTR10C	0	4	4692	0.03	1.0	peak_in_te	1	n.s
RLTR10C|MMERVK10C-int|RLTR27|MMERVK10C-int|MMERVK10C-int|MMERVK10C-int|MMERVK10C-int|MMERVK10C-int	0	1	4692	0.0	1.0	peak_in_te	1	n.s
RLTR10C|MMERVK10C-int|RLTR27|MMERVK10C-int|MMERVK10C-int|MMERVK10C-int|MMERVK10C-int|MMERVK10C-int|MMERVK10C-int|MMERVK10C-int|MMERVK10C-int|MMERVK10C-int	0	1	4692	0.01	1.0	peak_in_te	1	n.s
RLTR10D2|MMERVK10D3_I-int|MMERVK10D3_I-int|RLTR10D2	0	3	4692	0.03	1.0	peak_in_te	1	n.s
